scenario_id,rho,qH,tau,method,certified_fraction,max_excess,median_excess,max_upper_H,max_upper_L
BG01,0.7,0.2,0.5,DR-BGS,0.0,0.0,0.0,0.985181478885102,0.9325758603520913
BG01,0.7,0.2,0.5,Guarded-GP,0.0,0.07263211520118233,0.07263211520118233,0.99983122885689,0.9530447797605528
BG02,0.7,0.2,2.0,DR-BGS,0.0,0.0,0.0,1.0,0.99983122885689
BG02,0.7,0.2,2.0,Guarded-GP,0.0,0.0,0.0,1.0,1.0
BG03,0.7,0.5,0.5,DR-BGS,0.0,0.0,0.0,1.0,0.6916426928331265
BG03,0.7,0.5,0.5,Guarded-GP,0.0,0.0,0.0,1.0,0.6916426928331265
BG04,0.7,0.5,2.0,DR-BGS,0.0,0.0,0.0,1.0,0.9890898135310887
BG04,0.7,0.5,2.0,Guarded-GP,0.0,0.0,0.0,1.0,0.9890898135310887
BG05,0.7,0.8,0.5,DR-BGS,0.0,0.0,0.0,1.0,0.7598480539030887
BG05,0.7,0.8,0.5,Guarded-GP,0.0,0.0,0.0,1.0,0.7598480539030887
BG06,0.7,0.8,2.0,DR-BGS,0.0,0.0,0.0,1.0,0.9810344303654225
BG06,0.7,0.8,2.0,Guarded-GP,0.0,0.0,0.0,1.0,0.985181478885102
BG07,0.9,0.2,0.5,DR-BGS,0.0,0.0,0.0,0.9983811729701603,0.9579797352998276
BG07,0.9,0.2,0.5,Guarded-GP,0.0,0.0,0.0,0.9983811729701603,0.9579797352998276
BG08,0.9,0.2,2.0,DR-BGS,0.0,0.0,0.0,0.99983122885689,0.985181478885102
BG08,0.9,0.2,2.0,Guarded-GP,0.0,0.0,0.0,1.0,0.9958563747187794
BG09,0.9,0.5,0.5,DR-BGS,0.0,0.0,0.0,1.0,0.6979228157457065
BG09,0.9,0.5,0.5,Guarded-GP,0.0,0.0,0.0,1.0,0.6979228157457065
BG10,0.9,0.5,2.0,DR-BGS,0.0,0.0,0.0,1.0,0.9628253852180945
BG10,0.9,0.5,2.0,Guarded-GP,0.0,0.0,0.0,1.0,0.9628253852180945
BG11,0.9,0.8,0.5,DR-BGS,0.0,0.0,0.0,1.0,0.6280257890489989
BG11,0.9,0.8,0.5,Guarded-GP,0.0,0.008483696903667815,0.0,1.0,0.6408652578000311
BG12,0.9,0.8,2.0,DR-BGS,0.0,0.14988635716083232,0.14988635716083232,1.0,0.8492697634871661
BG12,0.9,0.8,2.0,Guarded-GP,0.0,0.14988635716083232,0.14988635716083232,1.0,0.9530447797605528
