original_scenario_id,base_rho,qH,tau,minimum_certified_K_in_grid,capacity_multiplier,exact_certifiable_policies,best_policy_upper
BG01,0.7,0.2,0.5,200.0,5.0,1,0.0850278147181987
BG02,0.7,0.2,2.0,,,0,0.2803342891271908
BG03,0.7,0.5,0.5,240.0,6.0,3,0.0937858649877965
BG04,0.7,0.5,2.0,,,0,0.3520217706814359
BG05,0.7,0.8,0.5,,,0,0.4354752549149465
BG06,0.7,0.8,2.0,,,0,0.6086602079182417
BG07,0.9,0.2,0.5,,,0,0.1108415200136255
BG08,0.9,0.2,2.0,,,0,0.4148430062655588
BG09,0.9,0.5,0.5,,,0,0.1830088770247613
BG10,0.9,0.5,2.0,,,0,0.5826425897042657
BG11,0.9,0.8,0.5,,,0,0.9429425651637532
BG12,0.9,0.8,2.0,,,0,0.985181478885102
