original_scenario_id,base_rho,base_tau,regime,K,rho,qH,tau,boundary_selected_from_150_replays,selection_exact_certifiable_policies,selection_best_policy_upper
BG01,0.7,0.5,baseline,40.0,0.7,0.2,0.5,1,0,0.9890898135310888
BG01,0.7,0.5,boundary_candidate,40.0,0.075,0.2,0.5,1,2,0.0937858649877965
BG01,0.7,0.5,near_boundary_harder,40.0,0.1,0.2,0.5,1,0,0.3092774317482905
BG01,0.7,0.5,interior_safer,40.0,0.05,0.2,0.5,1,190,0.0242925971661085
BG02,0.7,2.0,baseline,40.0,0.7,0.2,2.0,1,0,0.9983811729701604
BG02,0.7,2.0,boundary_candidate,40.0,0.05,0.2,2.0,1,190,0.0242925971661085
BG02,0.7,2.0,near_boundary_harder,40.0,0.075,0.2,2.0,1,0,0.159567885127577
BG02,0.7,2.0,interior_safer,40.0,0.025,0.2,2.0,1,190,0.0242925971661085
BG03,0.7,0.5,baseline,40.0,0.7,0.5,0.5,1,0,0.99983122885689
BG03,0.7,0.5,boundary_candidate,40.0,0.075,0.5,0.5,1,119,0.0573342222882057
BG03,0.7,0.5,near_boundary_harder,40.0,0.1,0.5,0.5,1,0,0.3020774325061646
BG03,0.7,0.5,interior_safer,40.0,0.05,0.5,0.5,1,190,0.0242925971661085
BG04,0.7,2.0,baseline,40.0,0.7,0.5,2.0,1,0,1.0
BG04,0.7,2.0,boundary_candidate,40.0,0.05,0.5,2.0,1,190,0.0242925971661085
BG04,0.7,2.0,near_boundary_harder,40.0,0.075,0.5,2.0,1,0,0.1191839770669258
BG04,0.7,2.0,interior_safer,40.0,0.025,0.5,2.0,1,190,0.0242925971661085
BG05,0.7,0.5,baseline,40.0,0.7,0.8,0.5,1,0,1.0
BG05,0.7,0.5,boundary_candidate,40.0,0.05,0.8,0.5,1,190,0.0242925971661085
BG05,0.7,0.5,near_boundary_harder,40.0,0.075,0.8,0.5,1,0,0.1191839770669258
BG05,0.7,0.5,interior_safer,40.0,0.025,0.8,0.5,1,190,0.0242925971661085
BG06,0.7,2.0,baseline,40.0,0.7,0.8,2.0,1,0,1.0
BG06,0.7,2.0,boundary_candidate,40.0,0.05,0.8,2.0,1,190,0.0242925971661085
BG06,0.7,2.0,near_boundary_harder,40.0,0.075,0.8,2.0,1,0,0.1516385313036481
BG06,0.7,2.0,interior_safer,40.0,0.025,0.8,2.0,1,190,0.0242925971661085
BG07,0.9,0.5,baseline,40.0,0.9,0.2,0.5,1,0,0.972200022205544
BG07,0.9,0.5,boundary_candidate,40.0,0.075,0.2,0.5,1,8,0.0668678766774893
BG07,0.9,0.5,near_boundary_harder,40.0,0.1,0.2,0.5,1,0,0.236124326540432
BG07,0.9,0.5,interior_safer,40.0,0.05,0.2,0.5,1,190,0.0242925971661085
BG08,0.9,2.0,baseline,40.0,0.9,0.2,2.0,1,0,0.9983811729701604
BG08,0.9,2.0,boundary_candidate,40.0,0.05,0.2,2.0,1,190,0.0242925971661085
BG08,0.9,2.0,near_boundary_harder,40.0,0.075,0.2,2.0,1,0,0.1355738902126391
BG08,0.9,2.0,interior_safer,40.0,0.025,0.2,2.0,1,190,0.0242925971661085
BG09,0.9,0.5,baseline,40.0,0.9,0.5,0.5,1,0,1.0
BG09,0.9,0.5,boundary_candidate,40.0,0.075,0.5,0.5,1,67,0.0573342222882057
BG09,0.9,0.5,near_boundary_harder,40.0,0.1,0.5,0.5,1,0,0.2657114814573489
BG09,0.9,0.5,interior_safer,40.0,0.05,0.5,0.5,1,190,0.0242925971661085
BG10,0.9,2.0,baseline,40.0,0.9,0.5,2.0,1,0,1.0
BG10,0.9,2.0,boundary_candidate,40.0,0.05,0.5,2.0,1,190,0.0242925971661085
BG10,0.9,2.0,near_boundary_harder,40.0,0.075,0.5,2.0,1,0,0.1023818960233237
BG10,0.9,2.0,interior_safer,40.0,0.025,0.5,2.0,1,190,0.0242925971661085
BG11,0.9,0.5,baseline,40.0,0.9,0.8,0.5,1,0,1.0
BG11,0.9,0.5,boundary_candidate,40.0,0.05,0.8,0.5,1,190,0.0242925971661085
BG11,0.9,0.5,near_boundary_harder,40.0,0.075,0.8,0.5,1,0,0.1436427232833871
BG11,0.9,0.5,interior_safer,40.0,0.025,0.8,0.5,1,190,0.0242925971661085
BG12,0.9,2.0,baseline,40.0,0.9,0.8,2.0,1,0,1.0
BG12,0.9,2.0,boundary_candidate,40.0,0.075,0.8,2.0,1,6,0.0850278147181987
BG12,0.9,2.0,near_boundary_harder,40.0,0.1,0.8,2.0,1,0,0.4423206025977259
BG12,0.9,2.0,interior_safer,40.0,0.05,0.8,2.0,1,190,0.0242925971661085
