scenario_id,qH,tau,method,run_labels,confirmed_run_labels,unique_selected_policies,confirmed_unique_policies,max_upper_A,max_upper_B
C01,0.2,0.5,DR-BGS,10,10,1,1,0.008512483409091,0.0030693461081002
C01,0.2,0.5,Exhaustive-training,1,1,1,1,0.0046342015149464,0.0030693461081002
C01,0.2,0.5,Guarded-GP,10,10,4,4,0.008512483409091,0.0046342015149464
C02,0.2,2.0,DR-BGS,10,10,1,1,0.0119817515499427,0.0108509100438764
C02,0.2,2.0,Exhaustive-training,1,1,1,1,0.0119817515499427,0.0130935273176606
C02,0.2,2.0,Guarded-GP,10,10,3,3,0.0141894004099415,0.0130935273176606
C03,0.5,0.5,DR-BGS,10,10,1,1,0.0046342015149464,0.006007480796118
C03,0.5,0.5,Exhaustive-training,1,1,1,1,0.0046342015149464,0.006007480796118
C03,0.5,0.5,Guarded-GP,10,10,5,5,0.0046342015149464,0.008512483409091
C04,0.5,2.0,DR-BGS,10,10,1,1,0.0030693461081002,0.0046342015149464
C04,0.5,2.0,Exhaustive-training,1,1,1,1,0.006007480796118,0.0046342015149464
C04,0.5,2.0,Guarded-GP,10,10,4,4,0.006007480796118,0.006007480796118
C05,0.8,0.5,DR-BGS,10,10,1,1,0.0030693461081002,0.0030693461081002
C05,0.8,0.5,Exhaustive-training,1,1,1,1,0.0030693461081002,0.0030693461081002
C05,0.8,0.5,Guarded-GP,10,10,2,2,0.0030693461081002,0.0030693461081002
C06,0.8,2.0,DR-BGS,10,10,1,1,0.0096966179716701,0.0046342015149464
C06,0.8,2.0,Exhaustive-training,1,1,1,1,0.0096966179716701,0.0046342015149464
C06,0.8,2.0,Guarded-GP,10,10,2,2,0.0108509100438764,0.0072885226094901
