scenario_id,level_count,policy_count,candidate_count,candidate_fraction,work_reduction,selected_idx,exhaustive_idx,exact_match,holdout_regret,elapsed_seconds
V01,19,190,49,0.2578947368421053,0.7356521739130435,181,182,0,9.0899136945506e-05,28.80193042755127
V01,31,496,81,0.1633064516129032,0.8338914936369726,405,288,0,0.0081946559291657,79.40039658546448
V01,51,1326,133,0.1003016591251885,0.8985689179010796,1062,1074,0,0.0,210.4019627571106
V12,19,190,47,0.2473684210526315,0.7460869565217392,1,25,0,0.0,36.19855189323425
V12,31,496,81,0.1633064516129032,0.8338914936369726,27,27,1,0.0,96.7040503025055
V12,51,1326,101,0.0761689291101055,0.922671353251318,22,22,1,0.0,204.5530252456665
R24,19,190,47,0.2473684210526315,0.7460869565217392,1,1,1,0.0,38.50172019004822
R24,31,496,79,0.1592741935483871,0.8379102478231748,0,0,1,0.0,109.3089690208435
R24,51,1326,129,0.0972850678733031,0.9015817223198594,0,0,1,0.0,194.22137999534607
R03,19,190,46,0.2421052631578947,0.751304347826087,0,0,1,0.0,43.79734182357788
R03,31,496,77,0.1552419354838709,0.841929002009377,0,0,1,0.0,117.5101354122162
R03,51,1326,101,0.0761689291101055,0.922671353251318,2,2,1,0.0,184.03841829299927
F01,19,190,63,0.331578947368421,0.662608695652174,39,39,1,0.0,44.39861059188843
F01,31,496,99,0.1995967741935483,0.797722705961152,129,129,1,0.0,119.1051013469696
F01,51,1326,178,0.1342383107088989,0.8646748681898067,337,286,0,0.010055856204575,182.63656210899356
F31,19,190,44,0.231578947368421,0.7617391304347826,1,1,1,0.0,74.10019516944885
F31,31,496,63,0.127016129032258,0.870060281312793,1,1,1,0.0,197.7060434818268
F31,51,1326,98,0.0739064856711915,0.9249309565654028,0,0,1,0.0,95.53765821456908
