scenario_id,median_regret,max_seed_regret,success_1,success_5,exact
C01,0.0,0.0,1.0,1.0,1.0
C02,0.0,0.0,1.0,1.0,1.0
C03,0.0,0.0,1.0,1.0,1.0
C04,0.0,0.0,1.0,1.0,1.0
C05,0.0,0.0,1.0,1.0,1.0
C06,0.0,0.0,1.0,1.0,1.0
C07,0.0,0.0,1.0,1.0,1.0
C08,0.0,0.0,1.0,1.0,1.0
C09,0.0,0.0,1.0,1.0,1.0
C10,0.0,0.0,1.0,1.0,1.0
C11,0.0,0.0,1.0,1.0,1.0
C12,0.0,0.0,1.0,1.0,1.0
C13,0.0,0.0,1.0,1.0,1.0
C14,0.0,0.0,1.0,1.0,1.0
C15,0.0,0.0,1.0,1.0,1.0
C16,0.0,0.0,1.0,1.0,1.0
C17,0.0,0.0,1.0,1.0,1.0
C18,0.0,0.0,1.0,1.0,1.0
C19,0.009411870840448254,0.009411870840448254,1.0,1.0,0.0
C20,0.0,0.0,1.0,1.0,1.0
C21,0.0,0.0,1.0,1.0,1.0
C22,0.0,0.0,1.0,1.0,1.0
C23,0.0,0.0,1.0,1.0,1.0
C24,0.0,0.0,1.0,1.0,1.0
C25,0.0,0.0,1.0,1.0,1.0
C26,0.0,0.0,1.0,1.0,1.0
C27,0.0,0.0,1.0,1.0,1.0
C28,0.0,0.0,1.0,1.0,1.0
C29,0.0,0.0,1.0,1.0,1.0
C30,0.0,0.0,1.0,1.0,1.0
C31,0.0,0.0,1.0,1.0,1.0
C32,0.0,0.0,1.0,1.0,1.0
C33,0.0,0.0,1.0,1.0,1.0
C34,0.0,0.0,1.0,1.0,1.0
C35,0.0,0.0,1.0,1.0,1.0
C36,0.0,0.0,1.0,1.0,1.0
C37,0.0,0.0,1.0,1.0,1.0
C38,0.0,0.0,1.0,1.0,1.0
C39,0.0,0.0,1.0,1.0,0.0
C40,0.0,0.0,1.0,1.0,1.0
C41,0.0,0.0,1.0,1.0,1.0
C42,0.0,0.0,1.0,1.0,1.0
C43,0.0,0.0,1.0,1.0,1.0
C44,0.0,0.0,1.0,1.0,1.0
C45,0.0,0.0,1.0,1.0,1.0
C46,0.0,0.0,1.0,1.0,1.0
C47,0.0,0.0,1.0,1.0,1.0
C48,0.0,0.0,1.0,1.0,1.0
C49,0.0,0.0,1.0,1.0,1.0
C50,0.0,0.0,1.0,1.0,1.0
C51,0.0,0.0,1.0,1.0,1.0
C52,0.0,0.0,1.0,1.0,1.0
C53,0.0,0.0,1.0,1.0,1.0
C54,0.0,0.0,1.0,1.0,1.0
C55,0.0,0.0,1.0,1.0,1.0
C56,0.0,0.0,1.0,1.0,1.0
C57,0.0,0.0,1.0,1.0,1.0
C58,0.0,0.0,1.0,1.0,1.0
C59,0.0,0.0,1.0,1.0,1.0
